"Gene.stable.ID"	"Gene.name"	"Gene.name.uniq"	"in.dataset"	"ZFIN.ID"	"Gene.description"
"281"	"ENSDARG00000104458"	"rnasekb"	"rnasekb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060825-160\")"	"ribonuclease, RNase K b [Source:ZFIN;Acc:ZDB-GENE-060825-160]"
"318"	"ENSDARG00000026582"	"iscub"	"iscub"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-332\")"	"iron-sulfur cluster assembly enzyme b [Source:ZFIN;Acc:ZDB-GENE-050417-332]"
"346"	"ENSDARG00000092033"	"si:dkey-239h2.3"	"si:dkey-239h2.3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081104-383\")"	"si:dkey-239h2.3 [Source:ZFIN;Acc:ZDB-GENE-081104-383]"
"365"	"ENSDARG00000025325"	"ccsapa"	"ccsapa"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-111116-1\")"	"centriole, cilia and spindle-associated protein a [Source:ZFIN;Acc:ZDB-GENE-111116-1]"
"403"	"ENSDARG00000054451"	"loxl1"	"loxl1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060503-693\")"	"lysyl oxidase-like 1 [Source:ZFIN;Acc:ZDB-GENE-060503-693]"
"409"	"ENSDARG00000041361"	"ttk"	"ttk"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030123-1\")"	"ttk protein kinase [Source:ZFIN;Acc:ZDB-GENE-030123-1]"
"432"	"ENSDARG00000007720"	"sub1b"	"sub1b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-209\")"	"SUB1 homolog, transcriptional regulator b [Source:ZFIN;Acc:ZDB-GENE-040718-209]"
"436"	"ENSDARG00000043640"	"cenpn"	"cenpn"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030616-408\")"	"centromere protein N [Source:ZFIN;Acc:ZDB-GENE-030616-408]"
"450"	"ENSDARG00000008829"	"chga"	"chga"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041010-161\")"	"chromogranin A [Source:ZFIN;Acc:ZDB-GENE-041010-161]"
"520"	"ENSDARG00000054026"	"mustn1a"	"mustn1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-111129-3\")"	"musculoskeletal, embryonic nuclear protein 1a [Source:ZFIN;Acc:ZDB-GENE-111129-3]"
"521"	"ENSDARG00000018404"	"krt18"	"krt18"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030411-6\")"	"keratin 18 [Source:ZFIN;Acc:ZDB-GENE-030411-6]"
"538"	"ENSDARG00000029406"	"h2afx"	"h2afx"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-987\")"	"H2A histone family, member X [Source:ZFIN;Acc:ZDB-GENE-040426-987]"
"540"	"ENSDARG00000026882"	"palm1a"	"palm1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-409\")"	"paralemmin 1a [Source:ZFIN;Acc:ZDB-GENE-050417-409]"
"544"	"ENSDARG00000097114"	"CT737255.1"	"CT737255.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"546"	"ENSDARG00000093022"	"seph"	"seph"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030411-2\")"	"selenoprotein H [Source:ZFIN;Acc:ZDB-GENE-030411-2]"
"547"	"ENSDARG00000058005"	"hgd"	"hgd"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020802-5\")"	"homogentisate 1,2-dioxygenase [Source:ZFIN;Acc:ZDB-GENE-020802-5]"
"564"	"ENSDARG00000092191"	"CR318588.1"	"CR318588.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"591"	"ENSDARG00000002591"	"ruvbl1"	"ruvbl1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030109-2\")"	"RuvB-like AAA ATPase 1 [Source:ZFIN;Acc:ZDB-GENE-030109-2]"
"673"	"ENSDARG00000045302"	"smpx"	"smpx"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040704-24\")"	"small muscle protein, X-linked [Source:ZFIN;Acc:ZDB-GENE-040704-24]"
"674"	"ENSDARG00000004757"	"ybx1"	"ybx1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000629-3\")"	"Y box binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-000629-3]"
"679"	"ENSDARG00000093936"	"si:dkeyp-1h4.6"	"si:dkeyp-1h4.6"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060503-841\")"	"si:dkeyp-1h4.6 [Source:ZFIN;Acc:ZDB-GENE-060503-841]"
"685"	"ENSDARG00000071652"	"rrp8"	"rrp8"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-8898\")"	"ribosomal RNA processing 8, methyltransferase, homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-8898]"
"731"	"ENSDARG00000016623"	"si:ch211-195b13.1"	"si:ch211-195b13.1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7626\")"	"si:ch211-195b13.1 [Source:ZFIN;Acc:ZDB-GENE-030131-7626]"
"781"	"ENSDARG00000042667"	"klf2a"	"klf2a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-011109-1\")"	"Kruppel-like factor 2a [Source:ZFIN;Acc:ZDB-GENE-011109-1]"
"823"	"ENSDARG00000098191"	"si:dkey-16l2.20"	"si:dkey-16l2.20"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141212-380\")"	"si:dkey-16l2.20 [Source:ZFIN;Acc:ZDB-GENE-141212-380]"
"825"	"ENSDARG00000056330"	"mhc2dbb"	"mhc2dbb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010112-2\")"	"major histocompatibility complex class II DBB gene [Source:ZFIN;Acc:ZDB-GENE-010112-2]"
"827"	"ENSDARG00000013056"	"itpk1a"	"itpk1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1953\")"	"inositol-tetrakisphosphate 1-kinase a [Source:ZFIN;Acc:ZDB-GENE-040426-1953]"
"838"	"ENSDARG00000036670"	"aplnrb"	"aplnrb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050913-90\")"	"apelin receptor b [Source:ZFIN;Acc:ZDB-GENE-050913-90]"
"846"	"ENSDARG00000068036"	"tmem119b"	"tmem119b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070410-49\")"	"transmembrane protein 119b [Source:ZFIN;Acc:ZDB-GENE-070410-49]"
"875"	"ENSDARG00000097691"	"kiaa0101"	"kiaa0101"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-543\")"	"KIAA0101 [Source:ZFIN;Acc:ZDB-GENE-131127-543]"
"880"	"ENSDARG00000044001"	"lgals3b"	"lgals3b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-4324\")"	"lectin, galactoside binding soluble 3b [Source:ZFIN;Acc:ZDB-GENE-030131-4324]"
"886"	"ENSDARG00000009094"	"gata2b"	"gata2b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-440\")"	"GATA binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-040718-440]"
"901"	"ENSDARG00000038612"	"pih1d3"	"pih1d3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040722-2\")"	"PIH1 domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-040722-2]"
"903"	"ENSDARG00000027041"	"pcdh17"	"pcdh17"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090608-3\")"	"protocadherin 17 [Source:ZFIN;Acc:ZDB-GENE-090608-3]"
"916"	"ENSDARG00000099672"	"capgb"	"capgb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-8541\")"	"capping protein (actin filament), gelsolin-like b [Source:ZFIN;Acc:ZDB-GENE-030131-8541]"
"920"	"ENSDARG00000054058"	"h1fx"	"h1fx"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1228\")"	"H1 histone family, member X [Source:ZFIN;Acc:ZDB-GENE-030131-1228]"
"923"	"ENSDARG00000056193"	"nme7"	"nme7"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000210-35\")"	"NME/NM23 family member 7 [Source:ZFIN;Acc:ZDB-GENE-000210-35]"
"969"	"ENSDARG00000007693"	"nfkbiab"	"nfkbiab"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1819\")"	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha b [Source:ZFIN;Acc:ZDB-GENE-030131-1819]"
"976"	"ENSDARG00000013776"	"thop1"	"thop1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-47\")"	"thimet oligopeptidase 1 [Source:ZFIN;Acc:ZDB-GENE-040718-47]"
"983"	"ENSDARG00000089429"	"si:dkey-205h13.2"	"si:dkey-205h13.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080225-18\")"	"si:dkey-205h13.2 [Source:ZFIN;Acc:ZDB-GENE-080225-18]"
"991"	"ENSDARG00000075870"	"triobpa"	"triobpa"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110411-40\")"	"TRIO and F-actin binding protein a [Source:ZFIN;Acc:ZDB-GENE-110411-40]"
"1003"	"ENSDARG00000087555"	"si:ch73-308l14.2"	"si:ch73-308l14.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141219-12\")"	"si:ch73-308l14.2 [Source:ZFIN;Acc:ZDB-GENE-141219-12]"
"1016"	"ENSDARG00000095715"	"BX465834.1"	"BX465834.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"1028"	"ENSDARG00000010791"	"dla"	"dla"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-29\")"	"deltaA [Source:ZFIN;Acc:ZDB-GENE-980526-29]"
"1036"	"ENSDARG00000089552"	"STPG4"	"STPG4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141222-51\")"	"si:ch211-93n23.7 [Source:ZFIN;Acc:ZDB-GENE-141222-51]"
"1038"	"ENSDARG00000020007"	"col1a2"	"col1a2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-8415\")"	"collagen, type I, alpha 2 [Source:ZFIN;Acc:ZDB-GENE-030131-8415]"
"1050"	"ENSDARG00000091116"	"pkhd1l1"	"pkhd1l1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060503-475\")"	"polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1 [Source:ZFIN;Acc:ZDB-GENE-060503-475]"
"1052"	"ENSDARG00000093732"	"CR396583.1"	"CR396583.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"1055"	"ENSDARG00000091771"	"lysmd2"	"lysmd2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040801-250\")"	"LysM, putative peptidoglycan-binding, domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-040801-250]"
"1075"	"ENSDARG00000055009"	"col4a1"	"col4a1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081105-114\")"	"collagen, type IV, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081105-114]"
"1106"	"ENSDARG00000040163"	"prim1"	"prim1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-990603-6\")"	"primase, DNA, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-990603-6]"
"1114"	"ENSDARG00000075727"	"map1lc3cl"	"map1lc3cl"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-140819-1\")"	"microtubule-associated protein 1 light chain 3 gamma, like [Source:ZFIN;Acc:ZDB-GENE-140819-1]"
"1115"	"ENSDARG00000032264"	"mybl2b"	"mybl2b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041007-1\")"	"v-myb avian myeloblastosis viral oncogene homolog-like 2b [Source:ZFIN;Acc:ZDB-GENE-041007-1]"
"1118"	"ENSDARG00000018524"	"midn"	"midn"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2433\")"	"midnolin [Source:ZFIN;Acc:ZDB-GENE-030131-2433]"
"1122"	"ENSDARG00000073911"	"tmem255a"	"tmem255a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070412-2\")"	"transmembrane protein 255A [Source:ZFIN;Acc:ZDB-GENE-070412-2]"
"1130"	"ENSDARG00000090783"	"mfap4"	"mfap4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2246\")"	"microfibrillar-associated protein 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2246]"
"1144"	"ENSDARG00000093646"	"AL954359.1"	"AL954359.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"1146"	"ENSDARG00000094423"	"AL954359.2"	"AL954359.2"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"1149"	"ENSDARG00000092136"	"cenpw"	"cenpw"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100922-200\")"	"centromere protein W [Source:ZFIN;Acc:ZDB-GENE-100922-200]"
"1152"	"ENSDARG00000029368"	"srpk2"	"srpk2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131105-1\")"	"SRSF protein kinase 2 [Source:ZFIN;Acc:ZDB-GENE-131105-1]"
"1163"	"ENSDARG00000031427"	"calm2a"	"calm2a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5590\")"	"calmodulin 2a (phosphorylase kinase, delta) [Source:ZFIN;Acc:ZDB-GENE-030804-3]"
"1172"	"ENSDARG00000053026"	"kif19"	"kif19"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080215-2\")"	"kinesin family member 19 [Source:ZFIN;Acc:ZDB-GENE-080215-2]"
"1174"	"ENSDARG00000089667"	"MFAP4"	"MFAP4*2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110408-14\")"	"microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]"
"1178"	"ENSDARG00000035519"	"histh1l"	"histh1l"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-145\")"	"histone H1 like [Source:ZFIN;Acc:ZDB-GENE-050417-145]"
"1192"	"ENSDARG00000075993"	"clic5a"	"clic5a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041114-84\")"	"chloride intracellular channel 5a [Source:ZFIN;Acc:ZDB-GENE-041114-84]"
"1205"	"ENSDARG00000099724"	"relt"	"relt"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2361\")"	"RELT, TNF receptor [Source:ZFIN;Acc:ZDB-GENE-040426-2361]"
"1217"	"ENSDARG00000075263"	"ankrd1a"	"ankrd1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100405-1\")"	"ankyrin repeat domain 1a (cardiac muscle) [Source:ZFIN;Acc:ZDB-GENE-100405-1]"
"1220"	"ENSDARG00000058819"	"nog1"	"nog1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-991206-8\")"	"noggin 1 [Source:ZFIN;Acc:ZDB-GENE-991206-8]"
"1229"	"ENSDARG00000093886"	"si:dkey-167i21.2"	"si:dkey-167i21.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-198\")"	"si:dkey-167i21.2 [Source:ZFIN;Acc:ZDB-GENE-090313-198]"
"1246"	"ENSDARG00000020158"	"spag6"	"spag6"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040704-53\")"	"sperm associated antigen 6 [Source:ZFIN;Acc:ZDB-GENE-040704-53]"
"1248"	"ENSDARG00000087373"	"dnah5"	"dnah5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110411-177\")"	"dynein, axonemal, heavy chain 5 [Source:ZFIN;Acc:ZDB-GENE-110411-177]"
"1271"	"ENSDARG00000042936"	"fam228a"	"fam228a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041014-83\")"	"family with sequence similarity 228, member A [Source:ZFIN;Acc:ZDB-GENE-041014-83]"
"1279"	"ENSDARG00000001785"	"irx2a"	"irx2a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1446\")"	"iroquois homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1446]"
"1320"	"ENSDARG00000035327"	"ckma"	"ckma"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-109\")"	"creatine kinase, muscle a [Source:ZFIN;Acc:ZDB-GENE-980526-109]"
"1331"	"ENSDARG00000062448"	"skor1b"	"skor1b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050419-82\")"	"SKI family transcriptional corepressor 1b [Source:ZFIN;Acc:ZDB-GENE-050419-82]"
"1333"	"ENSDARG00000101831"	"irx1a"	"irx1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040707-1\")"	"iroquois homeobox 1a [Source:ZFIN;Acc:ZDB-GENE-040707-1]"
"1334"	"ENSDARG00000035809"	"col1a1b"	"col1a1b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-4400\")"	"collagen, type I, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-030131-4400]"
"1336"	"ENSDARG00000056087"	"ecrg4a"	"ecrg4a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-189\")"	"esophageal cancer related gene 4a [Source:ZFIN;Acc:ZDB-GENE-050417-189]"
"1337"	"ENSDARG00000056961"	"ccdc30"	"ccdc30"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130530-667\")"	"coiled-coil domain containing 30 [Source:ZFIN;Acc:ZDB-GENE-130530-667]"
"1339"	"ENSDARG00000013843"	"sept5a"	"sept5a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7868\")"	"septin 5a [Source:ZFIN;Acc:ZDB-GENE-030131-7868]"
"1342"	"ENSDARG00000053136"	"b2m"	"b2m"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-88\")"	"beta-2-microglobulin [Source:ZFIN;Acc:ZDB-GENE-980526-88]"
"1352"	"ENSDARG00000098622"	"ccne1"	"ccne1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-168\")"	"cyclin E1 [Source:ZFIN;Acc:ZDB-GENE-980526-168]"
"1355"	"ENSDARG00000003695"	"vdac3"	"vdac3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2380\")"	"voltage-dependent anion channel 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2380]"
"1356"	"ENSDARG00000093783"	"si:dkey-70b23.2"	"si:dkey-70b23.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100922-241\")"	"si:dkey-70b23.2 [Source:ZFIN;Acc:ZDB-GENE-100922-241]"
"1419"	"ENSDARG00000023003"	"ccdc12"	"ccdc12"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040801-108\")"	"coiled-coil domain containing 12 [Source:ZFIN;Acc:ZDB-GENE-040801-108]"
"1428"	"ENSDARG00000039067"	"srd5a2b"	"srd5a2b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-182\")"	"steroid-5-alpha-reductase, alpha polypeptide 2b [Source:ZFIN;Acc:ZDB-GENE-050417-182]"
"1452"	"ENSDARG00000086288"	"scg3"	"scg3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1725\")"	"secretogranin III [Source:ZFIN;Acc:ZDB-GENE-040426-1725]"
"1476"	"ENSDARG00000028973"	"tekt2"	"tekt2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040113-1\")"	"tektin 2 (testicular) [Source:ZFIN;Acc:ZDB-GENE-040113-1]"
"1493"	"ENSDARG00000045230"	"cox6b1"	"cox6b1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-448\")"	"cytochrome c oxidase subunit VIb polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-040718-448]"
"1516"	"ENSDARG00000092998"	"si:ch211-202f5.3"	"si:ch211-202f5.3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1042\")"	"si:ch211-202f5.3 [Source:ZFIN;Acc:ZDB-GENE-030131-1042]"
"1522"	"ENSDARG00000092489"	"si:ch73-103b9.2"	"si:ch73-103b9.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070705-199\")"	"si:ch73-103b9.2 [Source:ZFIN;Acc:ZDB-GENE-070705-199]"
"1525"	"ENSDARG00000014013"	"lbr"	"lbr"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030804-11\")"	"lamin B receptor [Source:ZFIN;Acc:ZDB-GENE-030804-11]"
"1533"	"ENSDARG00000003216"	"anxa2a"	"anxa2a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-4282\")"	"annexin A2a [Source:ZFIN;Acc:ZDB-GENE-030131-4282]"
"1549"	"ENSDARG00000068461"	"zgc:162939"	"zgc:162939"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070410-115\")"	"zgc:162939 [Source:ZFIN;Acc:ZDB-GENE-070410-115]"
"1559"	"ENSDARG00000105162"	"CR293509.1"	"CR293509.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"1563"	"ENSDARG00000035521"	"sfrp1a"	"sfrp1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040310-5\")"	"secreted frizzled-related protein 1a [Source:ZFIN;Acc:ZDB-GENE-040310-5]"
"1570"	"ENSDARG00000058533"	"pole"	"pole"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070705-557\")"	"polymerase (DNA directed), epsilon [Source:ZFIN;Acc:ZDB-GENE-070705-557]"
"1597"	"ENSDARG00000078659"	"tmem176"	"tmem176"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080902-2\")"	"transmembrane protein 176 [Source:ZFIN;Acc:ZDB-GENE-080902-2]"
"1608"	"ENSDARG00000089131"	"il17rel"	"il17rel"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120112-1\")"	"interleukin 17 receptor E-like [Source:ZFIN;Acc:ZDB-GENE-120112-1]"
"1610"	"ENSDARG00000040295"	"apoeb"	"apoeb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-368\")"	"apolipoprotein Eb [Source:ZFIN;Acc:ZDB-GENE-980526-368]"
"1625"	"ENSDARG00000097434"	"BX649398.2"	"BX649398.2"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"1631"	"ENSDARG00000090793"	"si:ch211-207j7.2"	"si:ch211-207j7.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120215-232\")"	"si:ch211-207j7.2 [Source:ZFIN;Acc:ZDB-GENE-120215-232]"
"1637"	"ENSDARG00000019398"	"psma6a"	"psma6a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020326-1\")"	"proteasome subunit alpha 6a [Source:ZFIN;Acc:ZDB-GENE-020326-1]"
"1642"	"ENSDARG00000043453"	"rps5"	"rps5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020419-12\")"	"ribosomal protein S5 [Source:ZFIN;Acc:ZDB-GENE-020419-12]"
"1643"	"ENSDARG00000094965"	"nfil3-5"	"nfil3-5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7677\")"	"nuclear factor, interleukin 3 regulated, member 5 [Source:ZFIN;Acc:ZDB-GENE-030131-7677]"
"1658"	"ENSDARG00000056691"	"cpeb4a"	"cpeb4a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1557\")"	"cytoplasmic polyadenylation element binding protein 4a [Source:ZFIN;Acc:ZDB-GENE-040426-1557]"
"1670"	"ENSDARG00000009418"	"mef2cb"	"mef2cb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040901-7\")"	"myocyte enhancer factor 2cb [Source:ZFIN;Acc:ZDB-GENE-040901-7]"
